chart_name,person_id,mem,int,tru,emp,aes,itt,cft,model
COVID-7,persona_18,5,4,7,5,5,6,6,gpt-4o
COVID-7,persona_19,6,5,7,4,5,6,5,gpt-4o
COVID-7,persona_20,6,5,7,5,5,6,6,gpt-4o
COVID-7,persona_21,5,5,6,5,5,6,6,gpt-4o
COVID-7,persona_22,5,4,6,5,5,6,5,gpt-4o
COVID-7,persona_23,5,4,7,6,5,6,6,gpt-4o
COVID-8,persona_18,5,5,6,5,5,6,6,gpt-4o
COVID-8,persona_19,6,5,6,4,5,5,5,gpt-4o
COVID-8,persona_20,5,5,6,5,5,5,6,gpt-4o
COVID-8,persona_21,5,5,6,5,5,5,5,gpt-4o
COVID-8,persona_22,5,4,6,5,5,6,5,gpt-4o
COVID-8,persona_23,5,4,6,6,5,6,6,gpt-4o
COVID-9,persona_18,5,5,7,5,5,6,6,gpt-4o
COVID-9,persona_19,6,4,6,4,5,6,5,gpt-4o
COVID-9,persona_20,5,4,6,5,4,5,6,gpt-4o
COVID-9,persona_21,4,5,6,5,5,5,5,gpt-4o
COVID-9,persona_22,5,4,6,5,5,6,5,gpt-4o
COVID-9,persona_23,5,5,7,6,5,6,6,gpt-4o
COVID-5,persona_24,5,6,7,5,6,6,6,gpt-4o
COVID-5,persona_25,6,7,7,5,5,6,6,gpt-4o
COVID-5,persona_26,5,5,6,4,6,5,5,gpt-4o
COVID-5,persona_27,6,6,7,6,6,6,6,gpt-4o
COVID-5,persona_28,5,5,6,4,6,5,5,gpt-4o
COVID-5,persona_29,6,6,7,6,6,6,6,gpt-4o
COVID-6,persona_24,6,5,6,4,4,4,5,gpt-4o
COVID-6,persona_25,6,5,7,5,4,5,6,gpt-4o
COVID-6,persona_26,5,4,5,3,4,4,4,gpt-4o
COVID-6,persona_27,5,6,6,5,5,5,5,gpt-4o
COVID-6,persona_28,5,4,5,4,4,4,4,gpt-4o
COVID-6,persona_29,6,5,6,5,5,5,5,gpt-4o
COVID-7,persona_24,6,5,7,5,6,6,5,gpt-4o
COVID-7,persona_25,6,6,7,6,6,6,6,gpt-4o
COVID-7,persona_26,5,4,5,3,5,5,4,gpt-4o
COVID-7,persona_27,6,6,7,6,6,6,6,gpt-4o
COVID-7,persona_28,5,5,6,4,5,5,5,gpt-4o
COVID-7,persona_29,6,6,7,6,6,6,6,gpt-4o
COVID-8,persona_24,6,6,7,5,6,6,5,gpt-4o
COVID-8,persona_25,6,7,7,6,6,6,6,gpt-4o
COVID-8,persona_26,5,5,6,4,5,5,5,gpt-4o
COVID-8,persona_27,6,6,7,6,6,6,6,gpt-4o
COVID-8,persona_28,5,5,6,4,5,5,5,gpt-4o
COVID-8,persona_29,6,6,7,6,6,6,6,gpt-4o
COVID-9,persona_24,6,6,7,5,6,6,5,gpt-4o
COVID-9,persona_25,6,7,7,6,6,6,6,gpt-4o
COVID-9,persona_26,5,5,6,4,5,5,5,gpt-4o
COVID-9,persona_27,6,6,7,6,6,6,6,gpt-4o
COVID-9,persona_28,5,5,6,4,5,5,5,gpt-4o
COVID-9,persona_29,6,6,7,6,6,6,6,gpt-4o
COVID-10,persona_24,6,6,7,5,6,6,5,gpt-4o
COVID-10,persona_25,6,7,7,6,6,6,6,gpt-4o
COVID-10,persona_26,5,5,6,4,5,5,5,gpt-4o
COVID-10,persona_27,6,6,7,6,6,6,6,gpt-4o
COVID-10,persona_28,5,5,6,4,5,5,5,gpt-4o
COVID-10,persona_29,6,6,7,6,6,6,6,gpt-4o
COVID-6,persona_30,5,4,5,3,4,4,4,gpt-4o
COVID-6,persona_31,6,5,6,5,5,5,5,gpt-4o
COVID-6,persona_32,5,4,5,3,4,4,4,gpt-4o
COVID-6,persona_33,6,5,6,4,5,5,5,gpt-4o
COVID-6,persona_34,6,5,6,4,5,5,5,gpt-4o
COVID-6,persona_35,5,4,5,3,5,4,4,gpt-4o
COVID-7,persona_30,6,5,6,4,6,6,6,gpt-4o
COVID-7,persona_31,7,6,7,5,6,6,6,gpt-4o
COVID-7,persona_32,6,5,6,4,5,5,5,gpt-4o
COVID-7,persona_33,6,5,6,4,6,6,6,gpt-4o
COVID-7,persona_34,6,5,6,4,6,6,6,gpt-4o
COVID-7,persona_35,6,5,6,4,6,6,6,gpt-4o
COVID-8,persona_30,5,4,5,3,5,5,4,gpt-4o
COVID-8,persona_31,6,5,6,5,5,5,5,gpt-4o
COVID-8,persona_32,6,5,6,4,5,5,5,gpt-4o
COVID-8,persona_33,6,5,6,4,5,5,5,gpt-4o
COVID-8,persona_34,6,5,6,4,5,5,5,gpt-4o
COVID-8,persona_35,6,5,6,4,6,5,5,gpt-4o
COVID-9,persona_30,5,4,5,3,4,4,4,gpt-4o
COVID-9,persona_31,6,5,6,5,5,5,5,gpt-4o
COVID-9,persona_32,6,5,6,4,5,5,5,gpt-4o
COVID-9,persona_33,6,5,6,4,5,5,5,gpt-4o
COVID-9,persona_34,6,5,6,4,5,5,5,gpt-4o
COVID-9,persona_35,6,5,6,4,6,5,5,gpt-4o
COVID-10,persona_30,6,5,6,4,5,5,5,gpt-4o
COVID-10,persona_31,7,6,7,5,6,6,6,gpt-4o
COVID-10,persona_32,6,5,6,4,5,5,5,gpt-4o
COVID-10,persona_33,6,5,6,4,5,5,5,gpt-4o
COVID-10,persona_34,6,5,6,4,5,5,5,gpt-4o
COVID-10,persona_35,6,5,6,4,6,5,5,gpt-4o
COVID-11,persona_30,5,4,5,3,5,5,4,gpt-4o
COVID-11,persona_31,6,5,6,5,5,5,5,gpt-4o
COVID-11,persona_32,6,5,6,4,5,5,5,gpt-4o
COVID-11,persona_33,6,5,6,4,5,5,5,gpt-4o
COVID-11,persona_34,6,5,6,4,5,5,5,gpt-4o
COVID-11,persona_35,6,5,6,4,6,5,5,gpt-4o
COVID-7,persona_36,5,5,6,4,5,6,5,gpt-4o
COVID-7,persona_37,4,4,5,4,4,5,4,gpt-4o
COVID-7,persona_38,6,5,6,5,5,6,5,gpt-4o
COVID-7,persona_39,4,4,5,3,4,4,4,gpt-4o
COVID-7,persona_40,5,5,6,4,5,5,5,gpt-4o
COVID-7,persona_41,6,5,6,5,5,6,6,gpt-4o
COVID-8,persona_36,5,5,6,5,5,5,5,gpt-4o
COVID-8,persona_37,4,4,5,3,4,4,4,gpt-4o
COVID-8,persona_38,5,5,6,4,4,5,5,gpt-4o
COVID-8,persona_39,4,4,5,3,4,4,4,gpt-4o
COVID-8,persona_40,5,5,6,4,5,5,5,gpt-4o
COVID-8,persona_41,5,5,6,4,5,5,5,gpt-4o
COVID-9,persona_36,6,6,7,5,5,6,6,gpt-4o
COVID-9,persona_37,5,5,6,4,5,5,5,gpt-4o
COVID-9,persona_38,6,6,7,5,6,6,6,gpt-4o
COVID-9,persona_39,4,4,5,3,4,4,4,gpt-4o
COVID-9,persona_40,6,6,7,5,6,6,6,gpt-4o
COVID-9,persona_41,6,6,7,5,6,6,6,gpt-4o
COVID-10,persona_36,5,5,6,5,5,5,5,gpt-4o
COVID-10,persona_37,4,4,5,4,4,4,4,gpt-4o
COVID-10,persona_38,6,5,6,5,5,6,6,gpt-4o
COVID-10,persona_39,4,4,5,3,4,4,4,gpt-4o
COVID-10,persona_40,5,5,6,5,5,5,5,gpt-4o
COVID-10,persona_41,5,5,6,5,5,5,5,gpt-4o
COVID-11,persona_36,5,5,6,5,5,5,5,gpt-4o
COVID-11,persona_37,4,4,5,3,4,4,4,gpt-4o
COVID-11,persona_38,5,5,6,4,4,5,5,gpt-4o
COVID-11,persona_39,4,4,5,3,4,4,4,gpt-4o
COVID-11,persona_40,5,5,6,4,5,5,5,gpt-4o
COVID-11,persona_41,5,5,6,4,5,5,5,gpt-4o
COVID-12,persona_36,6,6,7,5,6,6,6,gpt-4o
COVID-12,persona_37,5,5,6,4,5,5,5,gpt-4o
COVID-12,persona_38,6,6,7,5,6,6,6,gpt-4o
COVID-12,persona_39,4,4,5,3,4,4,4,gpt-4o
COVID-12,persona_40,6,6,7,5,6,6,6,gpt-4o
COVID-12,persona_41,6,6,7,5,6,6,6,gpt-4o
COVID-8,persona_42,5,5,6,4,5,6,6,gpt-4o
COVID-8,persona_43,5,5,7,4,5,5,5,gpt-4o
COVID-8,persona_44,6,5,6,4,6,6,6,gpt-4o
COVID-8,persona_45,6,6,7,5,5,6,6,gpt-4o
COVID-8,persona_46,5,5,6,4,5,5,5,gpt-4o
COVID-8,persona_47,5,5,6,4,5,5,5,gpt-4o
COVID-9,persona_42,5,6,5,5,5,5,5,gpt-4o
COVID-9,persona_43,4,5,6,4,4,4,4,gpt-4o
COVID-9,persona_44,5,6,5,5,5,5,5,gpt-4o
COVID-9,persona_45,6,6,5,5,5,6,6,gpt-4o
COVID-9,persona_46,4,5,5,4,4,4,4,gpt-4o
COVID-9,persona_47,5,5,5,5,5,5,5,gpt-4o
COVID-10,persona_42,5,5,6,5,5,5,5,gpt-4o
COVID-10,persona_43,5,5,6,5,5,5,5,gpt-4o
COVID-10,persona_44,5,5,5,5,5,5,5,gpt-4o
COVID-10,persona_45,6,6,6,6,5,5,5,gpt-4o
COVID-10,persona_46,4,5,5,4,4,4,4,gpt-4o
COVID-10,persona_47,5,5,6,5,5,5,5,gpt-4o
COVID-11,persona_42,6,6,7,5,6,6,6,gpt-4o
COVID-11,persona_43,5,5,6,5,5,5,5,gpt-4o
COVID-11,persona_44,6,6,6,5,6,6,6,gpt-4o
COVID-11,persona_45,7,7,7,6,6,7,7,gpt-4o
COVID-11,persona_46,5,5,6,5,5,5,5,gpt-4o
COVID-11,persona_47,5,5,6,5,5,5,5,gpt-4o
COVID-12,persona_42,5,5,6,4,5,5,5,gpt-4o
COVID-12,persona_43,5,5,7,4,5,5,5,gpt-4o
COVID-12,persona_44,5,5,6,4,5,5,5,gpt-4o
COVID-12,persona_45,6,6,6,5,5,6,6,gpt-4o
COVID-12,persona_46,5,5,6,4,5,5,5,gpt-4o
COVID-12,persona_47,5,5,6,4,5,5,5,gpt-4o
COVID-1,persona_42,5,6,7,5,5,6,6,gpt-4o
COVID-1,persona_43,4,5,6,4,4,5,5,gpt-4o
COVID-1,persona_44,5,5,6,4,5,5,5,gpt-4o
COVID-1,persona_45,6,6,6,5,5,6,6,gpt-4o
COVID-1,persona_46,5,5,6,4,5,5,5,gpt-4o
COVID-1,persona_47,5,5,6,4,5,5,5,gpt-4o
COVID-9,persona_48,5,6,7,4,5,6,5,gpt-4o
COVID-9,persona_49,6,5,6,4,5,5,5,gpt-4o
COVID-9,persona_50,4,5,6,5,5,5,5,gpt-4o
COVID-9,persona_51,5,6,5,4,6,6,5,gpt-4o
COVID-9,persona_52,6,7,7,5,6,6,6,gpt-4o
COVID-9,persona_53,5,5,6,4,5,5,5,gpt-4o
COVID-10,persona_48,5,5,6,3,5,6,5,gpt-4o
COVID-10,persona_49,6,5,7,3,5,5,5,gpt-4o
COVID-10,persona_50,5,5,6,4,5,5,5,gpt-4o
COVID-10,persona_51,4,5,5,3,5,6,5,gpt-4o
COVID-10,persona_52,6,5,7,4,5,6,6,gpt-4o
COVID-10,persona_53,5,5,6,3,5,5,5,gpt-4o
COVID-11,persona_48,6,6,7,5,5,6,6,gpt-4o
COVID-11,persona_49,5,6,6,4,5,5,5,gpt-4o
COVID-11,persona_50,5,5,6,5,5,5,5,gpt-4o
COVID-11,persona_51,5,6,5,4,6,6,5,gpt-4o
COVID-11,persona_52,6,5,7,5,6,6,6,gpt-4o
COVID-11,persona_53,5,5,6,4,5,5,5,gpt-4o
COVID-12,persona_48,5,6,6,4,5,5,5,gpt-4o
COVID-12,persona_49,6,6,7,4,5,6,5,gpt-4o
COVID-12,persona_50,5,5,6,4,5,5,5,gpt-4o
COVID-12,persona_51,5,5,5,4,5,6,5,gpt-4o
COVID-12,persona_52,6,7,7,4,6,6,6,gpt-4o
COVID-12,persona_53,5,5,6,4,5,5,5,gpt-4o
COVID-1,persona_48,5,5,6,4,5,6,5,gpt-4o
COVID-1,persona_49,5,6,6,4,5,5,5,gpt-4o
COVID-1,persona_50,6,6,7,5,5,5,5,gpt-4o
COVID-1,persona_51,5,5,5,4,5,6,5,gpt-4o
COVID-1,persona_52,6,6,7,5,6,6,6,gpt-4o
COVID-1,persona_53,5,5,6,4,5,5,5,gpt-4o
COVID-2,persona_48,5,5,6,4,5,6,5,gpt-4o
COVID-2,persona_49,6,6,7,4,5,5,5,gpt-4o
COVID-2,persona_50,4,5,6,4,5,5,5,gpt-4o
COVID-2,persona_51,5,5,5,4,5,6,5,gpt-4o
COVID-2,persona_52,6,6,7,5,6,6,6,gpt-4o
COVID-2,persona_53,5,5,6,4,5,5,5,gpt-4o
COVID-10,persona_54,5,6,6,5,5,5,6,gpt-4o
COVID-10,persona_55,4,5,5,4,4,4,5,gpt-4o
COVID-10,persona_56,5,6,6,6,5,5,6,gpt-4o
COVID-10,persona_57,5,5,5,5,4,5,5,gpt-4o
COVID-10,persona_58,6,6,6,5,5,6,6,gpt-4o
COVID-10,persona_59,5,5,5,5,5,5,5,gpt-4o
COVID-11,persona_54,6,6,7,5,6,6,6,gpt-4o
COVID-11,persona_55,5,5,6,4,5,5,5,gpt-4o
COVID-11,persona_56,6,6,6,6,5,6,6,gpt-4o
COVID-11,persona_57,6,6,6,5,5,6,6,gpt-4o
COVID-11,persona_58,6,6,7,5,6,6,6,gpt-4o
COVID-11,persona_59,5,5,5,5,5,5,5,gpt-4o
COVID-12,persona_54,5,5,6,5,5,6,6,gpt-4o
COVID-12,persona_55,4,5,5,4,4,4,5,gpt-4o
COVID-12,persona_56,5,6,6,6,5,5,6,gpt-4o
COVID-12,persona_57,5,5,5,5,4,5,5,gpt-4o
COVID-12,persona_58,6,6,7,5,5,6,6,gpt-4o
COVID-12,persona_59,5,5,5,5,5,5,5,gpt-4o
COVID-1,persona_54,5,6,6,5,5,5,6,gpt-4o
COVID-1,persona_55,4,5,5,4,4,4,5,gpt-4o
COVID-1,persona_56,5,6,6,6,5,5,6,gpt-4o
COVID-1,persona_57,5,5,5,5,4,5,5,gpt-4o
COVID-1,persona_58,6,6,6,5,5,6,6,gpt-4o
COVID-1,persona_59,5,5,5,5,5,5,5,gpt-4o
COVID-2,persona_54,5,5,6,5,5,6,6,gpt-4o
COVID-2,persona_55,4,5,5,4,4,4,5,gpt-4o
COVID-2,persona_56,5,6,6,6,5,5,6,gpt-4o
COVID-2,persona_57,5,5,5,5,4,5,5,gpt-4o
COVID-2,persona_58,6,6,7,5,5,6,6,gpt-4o
COVID-2,persona_59,5,5,5,5,5,5,5,gpt-4o
COVID-3,persona_54,5,6,6,5,5,5,6,gpt-4o
COVID-3,persona_55,4,5,5,4,4,4,5,gpt-4o
COVID-3,persona_56,5,6,6,6,5,5,6,gpt-4o
COVID-3,persona_57,5,5,5,5,4,5,5,gpt-4o
COVID-3,persona_58,6,6,6,5,5,6,6,gpt-4o
COVID-3,persona_59,5,5,5,5,5,5,5,gpt-4o
COVID-11,persona_60,6,6,7,5,6,6,6,gpt-4o
COVID-11,persona_61,6,5,6,4,5,5,5,gpt-4o
COVID-11,persona_62,5,6,6,4,5,6,5,gpt-4o
COVID-11,persona_63,4,5,5,3,4,5,4,gpt-4o
COVID-11,persona_64,6,6,7,4,5,6,5,gpt-4o
COVID-11,persona_65,5,5,6,4,5,5,5,gpt-4o
COVID-12,persona_60,5,6,6,5,5,6,6,gpt-4o
COVID-12,persona_61,5,5,5,4,4,5,4,gpt-4o
COVID-12,persona_62,6,6,6,5,5,6,6,gpt-4o
COVID-12,persona_63,4,5,5,3,4,5,4,gpt-4o
COVID-12,persona_64,6,6,7,4,5,6,6,gpt-4o
COVID-12,persona_65,5,5,5,4,5,5,5,gpt-4o
COVID-1,persona_60,5,6,6,4,5,6,5,gpt-4o
COVID-1,persona_61,4,5,5,3,4,5,4,gpt-4o
COVID-1,persona_62,6,6,6,5,5,6,6,gpt-4o
COVID-1,persona_63,5,5,5,3,4,5,4,gpt-4o
COVID-1,persona_64,6,7,7,5,6,6,6,gpt-4o
COVID-1,persona_65,5,5,5,4,5,5,5,gpt-4o
COVID-2,persona_60,5,6,6,5,5,6,6,gpt-4o
COVID-2,persona_61,5,5,6,4,5,5,5,gpt-4o
COVID-2,persona_62,6,6,6,5,5,6,6,gpt-4o
COVID-2,persona_63,4,5,5,3,4,5,5,gpt-4o
COVID-2,persona_64,7,7,6,5,6,6,6,gpt-4o
COVID-2,persona_65,5,5,5,4,5,5,5,gpt-4o
COVID-3,persona_60,5,6,7,4,5,6,6,gpt-4o
COVID-3,persona_61,5,5,6,4,5,5,5,gpt-4o
COVID-3,persona_62,6,6,6,5,5,6,6,gpt-4o
COVID-3,persona_63,4,5,5,3,4,5,5,gpt-4o
COVID-3,persona_64,7,7,7,5,6,6,6,gpt-4o
COVID-3,persona_65,5,5,5,4,5,5,5,gpt-4o
COVID-4,persona_60,5,6,6,5,5,6,6,gpt-4o
COVID-4,persona_61,5,5,6,4,6,5,5,gpt-4o
COVID-4,persona_62,6,6,6,5,6,6,6,gpt-4o
COVID-4,persona_63,5,5,5,3,5,5,5,gpt-4o
COVID-4,persona_64,7,7,7,5,7,6,6,gpt-4o
COVID-4,persona_65,5,6,6,4,5,6,5,gpt-4o
COVID-12,persona_66,5,6,6,5,5,4,4,gpt-4o
COVID-12,persona_67,5,5,7,4,4,5,5,gpt-4o
COVID-12,persona_68,6,6,6,4,5,5,5,gpt-4o
COVID-12,persona_69,5,6,6,6,5,5,5,gpt-4o
COVID-12,persona_70,7,7,7,4,5,6,6,gpt-4o
COVID-12,persona_71,5,5,6,5,6,6,5,gpt-4o
COVID-1,persona_66,4,4,5,4,5,4,4,gpt-4o
COVID-1,persona_67,4,5,5,3,4,4,5,gpt-4o
COVID-1,persona_68,3,5,5,3,4,5,4,gpt-4o
COVID-1,persona_69,3,4,5,4,4,5,5,gpt-4o
COVID-1,persona_70,5,5,5,4,5,5,5,gpt-4o
COVID-1,persona_71,3,4,4,3,4,5,4,gpt-4o
COVID-2,persona_66,5,5,6,5,5,5,5,gpt-4o
COVID-2,persona_67,5,5,6,4,4,5,5,gpt-4o
COVID-2,persona_68,6,5,6,4,4,5,5,gpt-4o
COVID-2,persona_69,5,5,6,5,5,5,5,gpt-4o
COVID-2,persona_70,6,6,6,5,5,5,5,gpt-4o
COVID-2,persona_71,5,4,5,5,4,5,5,gpt-4o
COVID-3,persona_66,6,5,6,4,5,6,5,gpt-4o
COVID-3,persona_67,6,5,6,4,4,5,6,gpt-4o
COVID-3,persona_68,6,6,6,4,4,5,5,gpt-4o
COVID-3,persona_69,5,5,6,5,5,5,6,gpt-4o
COVID-3,persona_70,7,6,6,5,5,6,5,gpt-4o
COVID-3,persona_71,6,5,6,4,5,6,5,gpt-4o
COVID-4,persona_66,5,5,6,5,5,5,5,gpt-4o
COVID-4,persona_67,5,5,6,4,4,5,5,gpt-4o
COVID-4,persona_68,5,5,6,4,4,5,5,gpt-4o
COVID-4,persona_69,5,5,6,5,5,5,5,gpt-4o
COVID-4,persona_70,6,6,6,5,5,5,5,gpt-4o
COVID-4,persona_71,5,5,6,4,4,5,5,gpt-4o
COVID-5,persona_66,6,6,6,5,6,6,6,gpt-4o
COVID-5,persona_67,6,5,7,5,5,5,6,gpt-4o
COVID-5,persona_68,6,6,6,5,6,6,5,gpt-4o
COVID-5,persona_69,5,6,6,5,6,5,6,gpt-4o
COVID-5,persona_70,6,7,6,5,6,6,6,gpt-4o
COVID-5,persona_71,5,5,6,5,5,6,5,gpt-4o
HousePrice-1,persona_72,6,5,6,4,5,6,5,gpt-4o
HousePrice-1,persona_73,5,5,6,3,6,5,5,gpt-4o
HousePrice-1,persona_74,5,7,7,3,6,6,5,gpt-4o
